"행정구역별","성별","연령별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별","성별","연령별",1인 가구,1년 미만,1~2,2~3,3~5,5~10,10~15,15~20,20~25,25년 이상,미상
"전국","계","합계",6643354,1598973,1126475,708982,832453,798897,450192,247194,247137,633051,-
"전국","계","20세 미만",72119,55749,9345,2509,1652,1482,844,538,-,-,-
"전국","계","20~24",496119,281647,129489,43881,23409,9282,4138,2173,2100,-,-
"전국","계","25~29",775110,338215,226096,96525,67909,26692,7633,4216,3345,4479,-
"전국","계","30~34",618316,209866,165798,92337,83332,43649,10476,4325,3579,4954,-
"전국","계","35~39",497027,137410,112939,73072,83308,58680,15986,5569,4037,6026,-
"전국","계","40~44",427257,102390,82988,61245,74018,64085,22851,7437,4775,7468,-
"전국","계","45~49",476499,102110,81201,61155,79180,79900,37912,14897,8303,11841,-
"전국","계","50~54",497959,96244,76906,60249,80045,84815,45307,20635,14996,18762,-
"전국","계","55~59",541536,85154,71528,59418,86396,96853,56086,28039,26174,31888,-
"전국","계","60~64",580701,74146,63575,56553,84185,104020,66954,38022,37012,56234,-
"전국","계","65~69",458284,46059,40699,37188,59693,77044,53728,35024,36233,72616,-
"전국","계","70~74",382524,28654,26206,25719,42656,57785,44000,30316,35034,92154,-
"전국","계","75세 이상",819903,41329,39705,39131,66670,94610,84277,56003,71549,326629,-
"전국","남자","합계",3304398,908655,627106,386956,435633,388513,192131,94918,88224,182262,-
"전국","남자","20세 미만",33854,26051,4246,1171,767,821,501,297,-,-,-
"전국","남자","20~24",219029,128167,54538,18566,8905,4412,2169,1037,1235,-,-
"전국","남자","25~29",433190,195352,124587,51760,35115,14077,4715,2650,2055,2879,-
"전국","남자","30~34",394473,138196,105696,58777,50803,25856,6454,2774,2536,3381,-
"전국","남자","35~39",320100,89836,73471,46925,53266,36182,9498,3798,2750,4374,-
"전국","남자","40~44",272897,67037,53064,38790,45660,40495,14227,4817,3167,5640,-
"전국","남자","45~49",299310,66213,50859,38073,48988,48427,23264,9101,5268,9117,-
"전국","남자","50~54",300477,61885,47243,35887,47876,48030,25128,11411,9043,13974,-
